,Reviews,Polarity,Predicted Polarity
0,received the items timely however when i open it inside its wet the micellar cleansing water cap is open so it leaks tax invoice receipt paper is wet when i opened it water marks can be seen on it luckily it was not that much volume but it is still a waste next time pls ensure cap is sealed locked properly specially in liquid items like this,0,0
1,good buy at a bundle deal,1,1
2,one of my favourite makeup remover that works,1,1
3,purchased 3 bottles during the festival,0,0
4,have been using this micellar water for 1 year this is my ord bottle,0,0
5,does not sting my eyes that are sensitive,1,1
6,fuss free in using as well,1,1
7,fast delivery,1,1
8,hassle free,0,1
9,well received,1,1
10,delivery is consider fast too and good experience,1,1
11,no leak all is well,1,1
12,it removes all waterproof makeup with no oily feeling,0,0
13,cheaper than retail shop,1,1
14,fast delivery in great packaging,1,1
15,item came in good condition,1,1
16,very good,1,1
17,very worth it,1,1
18,well received,1,1
19,received item very well packed and quite quickly too,1,1
20,no comments review is an image,0,0
21,no comments review is an image,0,0
22,no comments review is an image,0,0
23,no comments review is an image,0,0
24,no comments review is an image,0,0
25,no comments review is an image,0,0
26,no comments review is an image,0,0
27,no comments review is an image,0,0
28,no comments review is an image,0,0
29,no comments review is an image,0,0
30,no comments review is an image,0,0
31,no comments review is an image,0,0
32,no comments review is an image,0,0
33,no comments review is an image,0,0
34,no comments review is an image,0,0
35,no comments review is an image,0,0
36,advertised as 400ml ml but came with only a 400ml bottle,0,0
37,delivery took about 6 days,0,0
38,item as described and good value,1,1
39,good price during 9 9 sale,1,1
40,super fast delivery,1,1
41,delivered in a protected package used once so far and the cleaning results is great,1,1
42,it is not oily too,0,0
43,cheap and good,1,1
44,no comments review is an image,0,0
45,received item in good condition,1,1
46,product good as always,1,1
47,delivery could be quicker,1,0
48,fast delivery,1,1
49,super fast delivery,1,1
50,item came bubble wrapped nicely,1,1
51,overall good buy,1,1
52,receive with good condition,1,1
53,happy with the purchase,1,1
54,great deal and fast delivery,1,1
55,fast delivery great 11 11 deal,1,1
56,very happy with my purchase,1,1
57,no comments review is an image,0,0
58,bubble wrapped fast delivery,1,1
59,no comments review is an image,0,0
60,love this product,1,1
61,it is my holy grail of sorts,1,1
62,nicely wrap and delivered in good condition,1,1
63,very powerful make up remover it removes moisture at my face too makes my face very dry,0,0
64,when i purchased this product i was a little bit hesitant but when i got to try this product it really satisfies me,0,0
65,it is really nice to use,1,1
66,it is really recommendable for others to try out,0,0
67,the packaging is nice the way it completely removes your make up is so legit,1,1
68,and it is legit amazing,1,1
69,i would really love to buy this product again,1,1
70,and i would recommend it to my friends so that they can witness how beautiful and amazing this product is,1,1
71,i just really love how it feels on my skin and face,1,1
72,i just really love everything about it,1,1
73,i used to use the bioderma micellar water but have since switched over to garnier as it leaves my face feeling fresh and clean and what is more it is cheaper and hence worth the money,1,1
74,i used to use the bioderma micellar water but have since switched over to garnier as it leaves my face feeling fresh and clean and what is more it is cheaper and hence worth the money,1,1
75,no comments review is an image,0,0
